ndb_id,description,water (g),energy (kcal),protein (g),total fat (g),ash (g),carbohydrate (g),dietary fiber (g),sugar (g),calcium (mg),iron (mg),magnesium (mg),phosphorus (mg),potassium (mg),sodium (mg),zinc (mg),copper (mg),manganese (mg),selenium (μg),vitamin c (mg),thiamin (mg),riboflavin (mg),niacin (mg),pantothenic acid (mg),vitamin b6 (mg),total folate (μg),folic acid (μg),food folate (μg),dietary folate (μg),choline (mg),vitamin b12 (μg),vitamin a (iu),vitamin a (μg),retinol (μg),alpha-carotene (μg),beta-carotene (μg),beta-cryptoxanthin (μg),lycopene (μg),lutein + zeazanthin (μg),vitamin e (mg),vitamin d (μg),vitamin d (iu),vitamin k (μg),saturated fatty acid (g),monounsaturated fatty acids (g),polyunsaturated fatty acids (g),cholesterol (mg)
11879,"TARO,LEAVES,CKD,STMD,W/SALT",92.15,24,2.72,0.41,0.83,3.89,2.0,,86,1.18,20,27,460,238,0.21,0.140,0.371,0.9,35.5,0.139,0.380,1.267,0.044,0.072,48,0,48,48,,0.00,4238,212,0,,,,,,,0.0,0,,0.083,0.033,0.168,0
11891,"TURNIP GRNS,CKD,BLD,DRND,W/SALT",93.20,20,1.14,0.23,1.07,4.36,3.5,0.53,137,0.80,22,29,203,265,0.14,0.253,0.337,0.9,27.4,0.045,0.072,0.411,0.274,0.180,118,0,118,118,,0.00,7625,381,0,0,4575,0,0,8440,1.88,0.0,0,367.6,0.053,0.015,0.091,0
11892,"TURNIP GRNS,FRZ,CKD,BLD,DRND,W/SALT",90.40,29,3.35,0.42,0.85,4.98,3.4,0.75,152,1.94,26,34,224,251,0.41,0.150,0.475,1.2,21.8,0.054,0.074,0.468,0.069,0.067,39,0,39,39,0.5,0.00,10765,538,0,0,6459,0,0,11915,2.66,0.0,0,518.9,0.099,0.028,0.170,0
11893,"TURNIP GRNS&TURNIPS,FRZ,CKD,BLD,DRND,W/SALT",91.04,34,2.99,0.38,0.85,4.74,3.1,0.95,128,1.75,24,32,216,255,0.37,0.133,0.400,1.1,18.2,0.050,0.065,0.486,0.083,0.067,33,0,33,33,2.1,0.00,8612,431,0,0,5167,0,0,9532,2.13,0.0,0,415.1,0.085,0.024,0.160,0
11936,"MUSHROOMS,BROWN,ITALIAN,OR CRIMINI,EXPOSED TO UV LT,RAW",92.12,22,2.50,0.10,0.98,4.30,0.6,1.72,18,0.40,9,120,448,6,1.10,0.500,0.142,26.0,0.0,0.095,0.490,3.800,1.500,0.110,28,0,28,28,22.1,0.10,0,0,0,0,0,0,0,0,0.01,31.9,1276,0.0,0.014,0.002,0.042,0
11938,"MUSHROOM,WHITE,EXPOSED TO UV LT,RAW",92.45,22,3.09,0.34,0.85,3.26,1.0,1.98,3,0.50,9,86,318,5,0.52,0.318,0.047,9.3,2.1,0.081,0.402,3.607,1.497,0.104,17,0,17,17,17.3,0.00,0,,0,,,,,,0.01,26.2,1046,0.0,0.050,0.000,0.160,0
11939,"MUSHROOMS,PORTABELLA,EXPOSED TO UV LT,GRILLED",90.66,29,3.28,0.58,1.05,4.44,2.2,2.26,3,0.40,13,135,437,11,0.65,0.389,0.067,21.9,0.0,0.072,0.403,6.255,1.262,0.122,19,,19,,32.8,,,,,,,,,,0.00,13.1,524,0.0,0.037,0.038,0.695,
11950,"MUSHROOMS,ENOKI,RAW",88.34,37,2.66,0.29,0.91,7.81,2.7,0.22,0,1.15,16,105,359,3,0.65,0.107,0.075,2.2,0.0,0.225,0.200,7.032,1.350,0.100,48,0,48,48,47.7,0.00,,,0,,,,,,0.01,0.1,5,0.0,0.020,0.000,0.090,0
11951,"PEPPERS,SWEET,YELLOW,RAW",92.02,27,1.00,0.21,0.45,6.32,0.9,,11,0.46,12,24,212,2,0.17,0.107,0.117,0.3,183.5,0.028,0.025,0.890,0.168,0.168,26,0,26,26,,0.00,200,10,0,,120,,,,,0.0,0,,0.031,,,0
11952,"RADICCHIO,RAW",93.14,23,1.43,0.25,0.70,4.48,0.9,0.60,19,0.57,13,40,302,22,0.62,0.341,0.138,0.9,8.0,0.016,0.028,0.255,0.269,0.057,60,0,60,60,10.9,0.00,27,1,0,0,16,0,0,8832,2.26,0.0,0,255.2,0.060,0.010,0.110,0
11953,"SQUASH,ZUCCHINI,BABY,RAW",92.73,21,2.71,0.40,1.05,3.11,1.1,,21,0.79,33,93,459,3,0.83,0.097,0.196,0.3,34.1,0.042,0.036,0.705,0.367,0.142,20,0,20,20,,0.00,490,25,0,,,,,,,0.0,0,,0.083,0.031,0.169,0
11959,"ARUGULA,RAW",91.71,25,2.58,0.66,1.40,3.65,1.6,2.05,160,1.46,47,52,369,27,0.47,0.076,0.321,0.3,15.0,0.044,0.086,0.305,0.437,0.073,97,0,97,97,15.3,0.00,2373,119,0,0,1424,0,0,3555,0.43,0.0,0,108.6,0.086,0.049,0.319,0
11963,"NOPALES,RAW",94.12,16,1.32,0.09,1.14,3.33,2.2,1.15,164,0.59,52,16,257,21,0.25,0.052,0.457,0.7,9.3,0.012,0.041,0.410,0.167,0.070,3,0,3,3,7.3,0.00,457,23,0,48,250,0,0,0,0.00,0.0,0,5.3,0.016,0.018,0.050,0
11964,"NOPALES,CKD,WO/SALT",94.31,15,1.35,0.05,1.01,3.28,2.0,1.12,164,0.50,47,16,195,20,0.21,0.049,0.408,0.7,5.3,0.011,0.040,0.296,0.150,0.067,3,0,3,3,7.1,0.00,443,22,0,47,242,0,0,0,0.00,0.0,0,5.1,0.006,0.007,0.021,0
11965,"CAULIFLOWER,GREEN,RAW",89.79,31,2.95,0.30,0.88,6.09,3.2,3.03,33,0.73,20,62,300,23,0.64,0.041,0.247,0.6,88.1,0.080,0.102,0.734,0.696,0.222,57,0,57,57,57.1,0.00,155,8,0,0,93,0,0,42,0.04,0.0,0,20.2,0.047,0.028,0.133,0
11967,"CAULIFLOWER,GRN,CKD,NO SALT ADDED",89.47,32,3.04,0.31,0.90,6.28,3.3,3.12,32,0.72,19,57,278,23,0.63,0.040,0.242,0.8,72.6,0.070,0.100,0.681,0.681,0.206,41,0,41,41,58.8,0.00,144,7,0,0,86,0,0,39,0.04,0.0,0,20.8,0.043,0.030,0.137,0
11969,"BROCCOLI,CHINESE,COOKED",93.54,22,1.14,0.72,0.79,3.81,2.5,0.84,100,0.56,18,41,261,7,0.39,0.061,0.264,1.3,28.2,0.095,0.146,0.437,0.159,0.070,99,0,99,99,25.3,0.00,1638,82,0,0,983,0,0,912,0.48,0.0,0,84.8,0.110,0.050,0.330,0
11970,"CABBAGE,NAPA,COOKED",96.33,12,1.10,0.17,0.17,2.23,,,29,0.74,8,19,87,11,0.14,0.096,0.203,0.4,3.2,0.005,0.025,0.466,0.035,0.037,43,0,43,43,,0.00,263,13,0,49,133,0,0,,,0.0,0,,,,,0
11972,"LEMON GRASS (CITRONELLA),RAW",70.58,99,1.82,0.49,1.80,25.31,,,65,8.17,60,101,723,6,2.23,0.266,5.224,0.7,2.6,0.065,0.135,1.101,0.050,0.080,75,0,75,75,,0.00,6,0,0,0,3,0,,,,0.0,0,,0.119,0.054,0.170,0
11974,"GRAPE LEAVES,RAW",73.32,93,5.60,2.12,1.65,17.31,11.0,6.30,363,2.63,95,91,272,9,0.67,0.415,2.855,0.9,11.1,0.040,0.354,2.362,0.231,0.400,83,0,83,83,12.8,0.00,27521,1376,0,629,16194,9,0,1747,2.00,0.0,0,108.6,0.336,0.081,1.065,0
11976,"PEPPER,BANANA,RAW",91.81,27,1.66,0.45,0.73,5.35,3.4,1.95,14,0.46,17,32,256,13,0.25,0.094,0.100,0.3,82.7,0.081,0.054,1.242,0.265,0.357,29,0,29,29,7.4,0.00,340,17,0,39,184,0,0,0,0.69,0.0,0,9.5,0.048,0.027,0.243,0
11978,"PEPPERS,ANCHO,DRIED",22.63,281,11.86,8.20,5.89,51.42,21.6,,61,10.93,113,201,2411,43,1.42,0.508,1.279,2.9,2.0,0.179,2.255,6.403,1.993,3.535,69,0,69,69,,0.00,20438,1022,0,,,,,,,0.0,0,,0.820,0.492,4.511,0
11981,"PEPPERS,HUNGARIAN,RAW",91.51,29,0.80,0.41,0.58,6.70,1.0,3.53,12,0.46,16,29,202,1,0.30,0.115,0.204,0.3,92.9,0.079,0.055,1.092,0.205,0.517,53,0,53,53,7.7,0.00,816,41,0,16,465,34,0,502,0.48,0.0,0,9.9,0.046,0.024,0.240,0
11982,"PEPPERS,PASILLA,DRIED",14.84,345,12.35,15.85,5.82,51.13,26.8,,97,9.83,130,267,2222,89,1.40,0.423,1.580,3.2,6.4,0.172,3.197,7.175,1.591,4.228,170,0,170,170,,0.00,35760,1788,0,,,,,,,0.0,0,,,,,0
11984,"EPAZOTE,RAW",89.21,32,0.33,0.52,2.50,7.44,3.8,,275,1.88,121,86,633,43,1.10,0.190,3.098,0.9,3.6,0.028,0.348,0.639,0.179,0.152,215,0,215,215,,0.00,57,3,0,,38,,,,,0.0,0,,,,,0
11985,"FIREWEED,LEAVES,RAW",70.78,103,4.71,2.75,2.54,19.22,10.6,,429,2.40,156,108,494,34,2.66,0.320,6.704,0.9,2.2,0.033,0.137,4.674,1.356,0.632,112,0,112,112,,0.00,3598,180,0,,,,,,,0.0,0,,,,,0
11986,"MALABAR SPINACH,COOKED",92.50,23,2.98,0.78,1.04,2.71,2.1,,124,1.48,48,36,256,55,0.30,0.111,0.255,0.9,5.9,0.106,0.129,0.787,0.135,0.086,114,0,114,114,,0.00,1158,58,0,,,,,,,0.0,0,,,,,0
11987,"MUSHROOMS,OYSTER,RAW",89.18,33,3.31,0.41,1.01,6.09,2.3,1.11,3,1.33,18,120,420,18,0.77,0.244,0.113,2.6,0.0,0.125,0.349,4.956,1.294,0.110,38,0,38,38,48.7,0.00,48,2,0,0,29,0,0,0,0.00,0.7,29,0.0,0.062,0.031,0.123,0
11990,"WASABI,ROOT,RAW",69.11,109,4.80,0.63,1.92,23.54,7.8,,128,1.03,69,80,568,17,1.62,0.155,0.391,,41.9,0.131,0.114,0.743,0.203,0.274,18,0,18,18,,0.00,35,2,0,0,21,0,,,,0.0,0,,,,,0
11992,"MUSHROOMS,WHITE,MICROWAVED",88.52,35,3.91,0.46,1.08,6.04,2.5,0.00,6,0.33,14,127,488,17,0.73,0.370,0.064,18.0,0.0,0.060,0.431,5.350,1.960,0.049,16,0,16,16,30.3,0.00,0,0,0,0,0,0,0,0,0.00,0.3,11,0.0,0.060,0.020,0.280,0
11993,"MUSHROOMS,MAITAKE,RAW",90.37,31,1.94,0.19,0.53,6.97,2.7,2.07,1,0.30,10,74,204,1,0.75,0.252,0.059,2.2,0.0,0.146,0.242,6.585,0.270,0.056,21,0,21,21,51.1,0.00,0,0,0,0,0,0,0,0,0.01,28.1,1123,0.0,0.030,0.030,0.090,0
11994,"BROCCOLI,CHINESE,RAW",92.55,30,1.20,0.76,0.83,4.67,2.6,0.88,105,0.59,19,43,274,7,0.41,0.064,,1.4,29.6,0.100,0.153,0.459,,0.074,104,0,104,104,26.5,0.00,1720,86,0,0,1032,0,0,957,0.50,0.0,0,89.1,0.116,0.053,0.347,0
11995,"FIDDLEHEAD FERNS,RAW",88.68,34,4.55,0.40,0.83,5.54,,,32,1.31,34,101,370,1,0.83,0.320,0.510,,26.6,0.020,0.210,4.980,,,,,,,,0.00,3617,181,0,261,2040,,,,,0.0,0,,,,,0
11996,"FIDDLEHEAD FERNS,FRZ,UNPREP",88.91,34,4.31,0.35,0.69,5.74,,,24,0.73,19,58,129,0,0.71,0.220,0.940,,17.8,0.014,0.130,3.260,,,,,,,,0.00,3350,168,0,280,1870,,,,,0.0,0,,,,,0
11998,"MUSHROOMS,PORTABELLA,EXPOSED TO UV LT,RAW",92.82,22,2.11,0.35,0.85,3.87,1.3,2.50,3,0.31,10,108,364,9,0.53,0.286,0.069,18.6,0.0,0.059,0.130,4.494,1.140,0.148,28,0,28,28,21.2,0.05,0,0,,0,0,0,0,0,0.02,28.4,1135,0.0,0.060,0.020,0.117,0
12001,"BREADFRUIT SEEDS,RAW",56.27,191,7.40,5.59,1.50,29.24,5.2,,36,3.67,54,175,941,25,0.90,1.148,0.142,,6.6,0.482,0.301,0.438,0.877,0.320,53,0,53,53,,0.00,256,13,0,,,,,,,0.0,0,,1.509,0.712,2.977,0
12003,"BREADFRUIT SEEDS,BOILED",59.30,168,5.30,2.30,1.10,32.00,4.8,,61,0.60,50,124,875,23,0.83,1.069,0.132,,6.1,0.290,0.170,5.300,0.816,0.298,49,0,49,49,,0.00,238,12,0,,,,,,,0.0,0,,0.621,0.293,1.225,0
12004,"SEEDS,BREADNUT TREE SEEDS,RAW",45.00,217,5.97,0.99,1.76,46.28,,,98,2.09,68,67,1183,31,1.13,1.444,0.178,,27.4,0.055,0.055,0.880,1.103,0.403,66,0,66,66,,0.00,248,12,0,,,,,,,0.0,0,,0.267,0.126,0.527,0
12005,"SEEDS,BREADNUT TREE SEEDS,DRIED",6.50,367,8.62,1.68,3.81,79.39,14.9,,94,4.60,115,178,2011,53,1.91,2.455,0.303,1.9,46.6,0.030,0.140,2.100,1.875,0.685,113,0,113,113,,0.00,216,11,0,,,,,,,0.0,0,,0.454,0.214,0.896,0
12006,"CHIA SEEDS,DRIED",5.80,486,16.54,30.74,4.80,42.12,34.4,,631,7.72,335,860,407,16,4.58,0.924,2.723,55.2,1.6,0.620,0.170,8.830,,,49,,49,,,0.00,54,,,,,,,,0.50,,,,3.330,2.309,23.665,0
12007,"COTTONSEED FLR,PART DEFATTED (GLANDLESS)",6.30,359,40.96,6.20,6.00,40.54,3.0,,478,12.66,721,1597,1772,35,11.69,1.180,2.143,5.6,2.4,2.102,0.399,4.065,0.448,0.769,229,0,229,229,,0.00,434,22,0,,,,,,,0.0,0,,1.588,1.133,2.958,0
12008,"COTTONSEED FLR,LOFAT (GLANDLESS)",6.90,332,49.83,1.41,5.76,36.10,,,474,12.58,716,1587,1761,35,11.61,1.172,2.129,,2.4,2.089,0.396,4.039,0.445,0.764,228,0,228,228,,0.00,432,22,0,,,,,,,0.0,0,,0.310,0.221,0.577,0
12011,"COTTONSEED MEAL,PART DEFATTED (GLANDLESS)",1.20,367,49.10,4.77,6.50,38.43,,,504,13.35,760,1684,1869,37,12.32,0.001,2.260,,2.5,2.217,0.420,4.286,0.472,0.811,242,0,242,242,,0.00,458,23,0,,,,,,,0.0,0,,1.207,0.861,2.248,0
12013,"LOTUS SEEDS,DRIED",14.16,332,15.41,1.97,3.99,64.47,,,163,3.53,210,626,1368,5,1.05,0.350,2.318,,0.0,0.640,0.150,1.600,0.851,0.629,104,0,104,104,,0.00,50,3,0,,,,,,,0.0,0,,0.330,0.388,1.166,0
12022,"SAFFLOWER SD MEAL,PART DEFATTED",6.41,342,35.62,2.39,6.85,48.73,,,77,4.86,350,638,68,3,5.01,1.733,1.998,,0.0,1.153,0.412,2.265,3.996,1.161,159,0,159,159,,0.00,49,2,0,,,,,,,0.0,0,,0.207,0.272,1.584,0
12041,"SUNFLOWER SD FLR,PART DEFATTED",7.47,326,48.06,1.61,7.04,35.83,5.2,,114,6.62,346,689,67,3,4.95,1.713,1.975,58.2,1.3,3.187,0.266,7.313,6.595,0.753,222,0,222,222,,0.00,49,2,0,,,,,,,0.0,0,,0.138,0.252,0.870,0
12061,ALMONDS,4.41,579,21.15,49.93,2.97,21.55,12.5,4.35,269,3.71,270,481,733,1,3.12,1.031,2.179,4.1,0.0,0.205,1.138,3.618,0.471,0.137,44,0,44,44,52.1,0.00,2,0,0,0,1,0,0,1,25.63,0.0,0,0.0,3.802,31.551,12.329,0
12062,"ALMONDS,BLANCHED",4.51,590,21.40,52.52,2.91,18.67,9.9,4.63,236,3.28,268,481,659,19,2.97,1.027,1.835,3.2,0.0,0.191,0.711,3.500,0.314,0.115,49,0,49,49,52.1,0.00,7,0,0,0,4,0,0,1,23.75,0.0,0,0.0,3.953,33.415,12.368,0
12063,"ALMONDS,DRY RSTD,WO/SALT",2.41,598,20.96,52.54,3.07,21.01,10.9,4.86,268,3.73,279,471,713,3,3.31,1.099,2.232,2.0,0.0,0.077,1.197,3.637,0.321,0.136,55,0,55,55,52.1,0.00,1,0,0,0,1,0,0,1,23.90,0.0,0,0.0,4.092,33.076,12.955,0
12065,"ALMONDS,OIL RSTD,WO/SALT",2.80,607,21.23,55.17,3.13,17.68,10.5,4.55,291,3.68,274,466,699,1,3.07,0.955,2.460,4.1,0.0,0.092,0.781,3.665,0.229,0.118,27,0,27,27,52.1,0.00,1,0,0,0,1,0,0,1,25.97,0.0,0,0.0,4.208,34.793,13.519,0
12096,"CHESTNUTS,CHINESE,ROASTED",40.20,239,4.48,1.19,1.78,52.36,,,19,1.50,90,102,477,4,0.93,0.387,1.708,,38.4,0.150,0.090,1.500,0.592,0.437,72,0,72,72,,0.00,5,0,0,,,,,,,0.0,0,,0.175,0.620,0.307,0
12101,"CHESTNUTS,EUROPEAN,BLD&STMD",68.15,131,2.00,1.38,0.71,27.76,,,46,1.73,54,99,715,27,0.25,0.472,0.854,,26.7,0.148,0.104,0.731,0.316,0.233,38,0,38,38,,0.00,17,1,0,,,,,,,0.0,0,,0.260,0.476,0.545,0
12121,"HAZELNUTS OR FILBERTS,BLANCHED",5.79,629,13.70,61.15,2.36,17.00,11.0,3.49,149,3.30,160,310,658,0,2.20,1.600,12.650,4.1,2.0,0.475,0.110,1.550,0.815,0.585,78,0,78,78,,0.00,40,2,0,2,23,,,,17.50,0.0,0,,4.669,48.192,5.558,0
12158,"BREADFRUIT SEEDS,ROASTED",49.70,207,6.20,2.70,1.30,40.10,6.0,,86,0.90,62,175,1082,28,1.03,1.321,0.163,,7.6,0.410,0.240,7.400,1.009,0.420,59,0,59,59,,0.00,294,15,0,,,,,,,0.0,0,,0.729,0.344,1.438,0
12193,"SISYMBRIUM SP. SEEDS,WHL,DRIED",6.10,318,12.14,4.60,18.90,58.26,,,1633,0.11,314,6,2130,92,0.30,0.110,1.512,,30.7,0.191,0.423,16.825,0.997,0.778,95,0,95,95,,0.00,63,3,0,,,,,,,,,,0.902,1.486,2.023,0
12204,"CHESTNUTS,JAPANESE,RSTD",49.90,201,2.97,0.80,1.20,45.13,,,35,2.10,64,93,427,19,1.43,0.730,2.065,,28.0,0.450,,0.700,0.466,0.418,59,0,59,59,,0.00,74,4,0,,,,,,,0.0,0,,0.118,0.419,0.207,0
12205,"LOTUS SEEDS,RAW",77.00,89,4.13,0.53,1.07,17.28,,,44,0.95,56,168,367,1,0.28,0.094,0.621,,0.0,0.171,0.040,0.429,0.228,0.168,28,0,28,28,,0.00,13,1,0,,,,,,,0.0,0,,0.088,0.104,0.312,0
12206,"ALMONDS,HONEY RSTD,UNBLANCHED",1.70,594,18.17,49.90,2.33,27.90,13.7,,263,2.83,240,400,560,130,2.60,0.970,2.003,,0.7,0.114,0.953,2.819,0.258,0.085,32,0,32,32,,0.00,0,0,0,,,,,,,0.0,0,,4.730,32.402,10.472,0
13321,"BEEF,VAR MEATS&BY-PRODUCTS,HEART,RAW",77.11,112,17.72,3.94,1.10,0.14,0.0,0.00,7,4.31,21,212,287,98,1.70,0.396,0.035,21.8,2.0,0.238,0.906,7.530,1.790,0.279,3,0,3,3,,8.55,0,0,0,0,0,0,17,0,0.22,,,0.0,1.383,1.137,0.546,124
13322,"BEEF,VAR MEATS&BY-PRODUCTS,HEART,CKD,SIMMRD",65.67,165,28.48,4.73,0.97,0.15,0.0,0.00,5,6.38,21,254,219,59,2.87,0.559,0.033,38.9,0.0,0.101,1.210,6.680,1.600,0.245,5,0,5,5,228.8,10.80,0,0,0,0,0,0,0,0,0.29,0.1,3,0.5,1.404,1.011,0.985,212
13323,"BEEF,VAR MEATS&BY-PRODUCTS,KIDNEYS,RAW",77.89,99,17.40,3.09,1.33,0.29,0.0,0.00,13,4.60,17,257,262,182,1.92,0.426,0.142,141.0,9.4,0.357,2.840,8.030,3.970,0.665,98,0,98,98,,27.50,1397,419,419,0,0,0,20,0,0.22,1.1,45,0.0,0.868,0.586,0.545,411
13324,"BEEF,VAR MEATS&BY-PRODUCTS,KIDNEYS,CKD,SIMMRD",66.88,158,27.27,4.65,1.31,0.00,0.0,0.00,19,5.80,12,304,135,94,2.84,0.564,0.185,168.0,0.0,0.160,2.970,3.920,1.560,0.391,83,0,83,83,513.2,24.90,0,0,0,0,0,0,23,0,0.08,1.1,45,0.0,1.439,0.960,1.138,716
13325,"BEEF,VAR MEATS&BY-PRODUCTS,LIVER,RAW",70.81,135,20.36,3.63,1.31,3.89,0.0,0.00,5,4.90,18,387,313,69,4.00,9.755,0.310,39.7,1.3,0.189,2.755,13.175,7.173,1.083,290,0,290,290,333.3,59.30,16898,4968,4948,11,232,13,0,0,0.38,1.2,49,3.1,1.233,0.479,0.465,275
13326,"BEEF,VAR MEATS & BY-PRODUCTS,LIVER,CKD,BRSD",58.81,191,29.08,5.26,1.74,5.13,0.0,0.00,6,6.54,21,497,352,79,5.30,14.283,0.356,36.1,1.9,0.194,3.425,17.525,7.110,1.017,253,0,253,253,426.0,70.58,31714,9442,9428,11,162,11,0,0,0.51,1.2,49,3.3,2.947,1.124,1.109,396
13327,"BEEF, VAR MEATS&BY-PRODUCTS, LIVER, CKD, PAN-FRIED",62.01,175,26.52,4.68,1.63,5.16,0.0,0.00,6,6.17,22,485,351,77,5.23,14.588,0.356,32.8,0.7,0.177,3.425,17.475,6.943,1.027,260,0,260,260,418.2,83.13,26088,7744,7728,11,182,21,0,0,0.46,1.2,49,3.9,2.530,1.106,1.021,381
13328,"BEEF,VAR MEATS&BY-PRODUCTS,LUNGS,RAW",79.38,92,16.20,2.50,0.98,0.00,0.0,,10,7.95,14,224,340,198,1.61,0.260,0.019,44.3,38.5,0.047,0.230,4.000,1.000,0.040,11,0,11,11,,3.81,46,14,14,,,,,,,,,,0.860,0.640,0.340,242
13333,"BEEF,VAR MEATS&BY-PRODUCTS,SPLEEN,RAW",77.20,105,18.30,3.00,1.38,0.00,0.0,,9,44.55,22,296,429,85,2.11,0.168,0.073,62.2,45.5,0.050,0.370,8.400,1.081,0.070,4,0,4,4,,5.68,0,0,0,,,,,,,,,,1.000,0.780,0.220,263
13334,"BEEF,VAR MEATS&BY-PRODUCTS,SPLEEN,CKD,BRSD",69.98,145,25.10,4.20,1.60,0.00,0.0,,12,39.36,19,305,284,57,2.79,0.924,0.075,91.4,50.3,0.048,0.300,5.567,0.876,0.040,4,0,4,4,,5.02,0,0,0,,,,,,,,,,1.390,1.120,0.310,347
14031,"BEV,H2O,BTLD,YUMBERRY,POMEGRANATE W/ ANTI-OXIDANTS, 0 CAL",98.75,5,0.00,0.00,0.00,1.25,0.0,0.00,0,0.00,0,0,8,10,0.00,0.000,,0.0,25.0,0.000,0.000,0.833,0.417,0.083,0,0,0,0,0.0,0.25,0,0,0,0,0,0,0,0,0.56,0.0,0,0.0,0.000,0.000,0.000,0
14056,"BEVERAGES,ACAI BERRY DRK,FORT",84.88,62,0.83,0.83,0.62,12.83,1.2,11.10,19,0.16,11,13,130,13,0.11,0.076,1.660,0.0,42.1,0.030,0.040,9.060,3.333,1.100,4,0,4,4,0.0,3.40,9698,485,0,46,5784,23,899,783,11.11,0.0,0,16.7,0.000,0.000,0.000,0
14058,"BEVERAGES,WHEY PROT PDR ISOLATE",0.86,359,58.14,1.16,10.77,29.07,0.0,1.16,698,1.26,233,581,872,372,8.72,1.163,1.160,40.7,34.9,0.872,0.988,11.628,5.814,1.163,233,233,0,395,225.0,3.49,2907,872,872,0,1,0,0,0,7.85,0.0,0,46.5,0.581,0.149,0.021,12
14091,"BEVERAGES,ALMOND MILK,UNSWTND,SHELF STABLE",97.05,15,0.59,1.10,0.68,0.58,0.0,0.00,197,0.35,7,10,67,71,0.07,0.029,0.042,0.2,0.0,0.060,0.047,0.075,0.030,0.015,1,0,1,1,0.0,0.00,142,43,43,0,0,0,0,0,2.81,1.0,42,0.0,0.000,0.708,0.236,0
14099,"ALCOHOLIC BEV,WINE,TABLE,RED,PINOT NOIR",86.94,82,0.07,0.00,0.25,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14140,"ALCOHOLIC BEV,WINE,TABLE,WHITE,MUSCAT",85.69,82,0.07,0.00,0.21,5.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14180,"BEVERAGES,COFFEE,BREWED,BRKFST BLEND",99.47,2,0.30,0.00,0.00,0.23,0.0,0.00,2,0.02,4,3,50,1,0.02,0.005,0.032,0.0,0.0,0.020,0.000,0.800,0.000,0.000,0,0,0,0,0.0,0.00,0,0,0,0,0,0,0,0,0.00,0.0,0,0.0,0.000,0.000,0.000,0
14202,"BEVERAGES,COFFEE,BREWED,ESPRESSO,REST-PREP,DECAFFEINATED",97.80,9,0.10,0.18,0.23,1.69,0.0,0.00,2,0.13,80,7,115,14,0.05,0.050,0.050,0.0,0.2,0.001,0.177,5.207,0.028,0.002,1,0,1,1,1.0,0.00,0,0,0,0,0,0,0,0,0.00,0.0,0,0.1,0.092,0.000,0.092,0
14209,"BEVERAGES,COFFEE,BREWED,PREP W/ TAP H2O",99.39,1,0.12,0.02,0.35,0.00,0.0,0.00,2,0.01,3,3,49,2,0.02,0.002,0.023,0.0,0.0,0.014,0.076,0.191,0.254,0.001,2,0,2,2,2.6,0.00,0,0,0,0,0,0,0,0,0.01,0.0,0,0.1,0.002,0.015,0.001,0
14210,"BEVERAGES,COFFEE,BREWED,ESPRESSO,REST-PREP",97.80,9,0.12,0.18,0.23,1.67,0.0,0.00,2,0.13,80,7,115,14,0.05,0.050,0.050,0.0,0.2,0.001,0.177,5.207,0.028,0.002,1,0,1,1,2.6,0.00,0,0,0,0,0,0,0,0,0.01,0.0,0,0.1,0.092,0.000,0.092,0
14219,"BEVERAGES,COFFEE,INST,DECAFFEINATED,PREP W/ H2O",98.93,2,0.12,0.00,0.19,0.43,0.0,0.00,4,0.04,4,3,36,4,0.01,0.010,0.012,0.2,0.0,0.000,0.014,0.282,0.001,0.000,0,0,0,0,,0.00,0,0,0,0,0,0,0,0,0.00,,,0.0,0.001,0.000,0.001,0
14278,"BEVERAGES,TEA,GRN,BREWED,REG",99.93,1,0.22,0.00,0.00,0.00,0.0,0.00,0,0.02,1,0,8,1,0.01,0.004,0.184,0.0,0.3,0.007,0.058,0.030,,0.005,0,0,0,0,0.0,0.00,0,0,0,0,0,0,0,0,0.00,0.0,0,0.0,0.000,0.000,0.000,0
14352,"BEVERAGES,TEA,BLACK,BREWED,PREP W/ TAP H2O,DECAFFEINATED",99.70,1,0.00,0.00,0.04,0.30,0.0,0.00,0,0.02,3,1,37,3,0.02,0.010,0.219,0.0,0.0,0.000,0.014,0.000,0.011,0.000,5,0,5,5,0.4,0.00,0,0,0,0,0,0,0,0,0.00,0.0,0,0.0,0.002,0.001,0.004,0
14353,"BEVERAGES,TEA,INST,DECAFFEINATED,UNSWTND",5.09,315,20.21,0.00,16.04,58.66,8.5,5.53,118,2.26,272,239,6040,72,1.69,0.550,133.000,5.3,0.0,0.000,0.985,10.800,4.530,0.356,103,0,103,103,118.3,0.00,0,0,0,0,0,0,0,0,0.00,0.0,0,0.0,0.000,0.000,0.000,0
14355,"BEVERAGES,TEA,BLACK,BREWED,PREP W/ TAP H2O",99.70,1,0.00,0.00,0.04,0.30,0.0,0.00,0,0.02,3,1,37,3,0.02,0.010,0.219,0.0,0.0,0.000,0.014,0.000,0.011,0.000,5,0,5,5,0.4,0.00,0,0,0,0,0,0,0,0,0.00,0.0,0,0.0,0.002,0.001,0.004,0
